Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.367,0.00,0.00,0.00,0.00,0.360,0.00,0.00,0.274,0.00,442
Client   1,0.00,0.158,0.00,0.00,0.00,0.534,0.00,0.00,0.00,0.309,298
Client   2,0.441,0.125,0.433,0.00,0.00,0.00,0.00,0.00,0.00,0.00,367
Client   3,0.00,0.00,0.00,0.467,0.00,0.00,0.144,0.389,0.00,0.00,347
Client   4,0.00,0.00,0.410,0.00,0.351,0.00,0.00,0.00,0.00,0.239,385
Client   5,0.00,0.00,0.350,0.00,0.299,0.352,0.00,0.00,0.00,0.00,452
Client   6,0.00,0.00,0.461,0.00,0.394,0.00,0.146,0.00,0.00,0.00,343
Client   7,0.00,0.00,0.00,0.00,0.371,0.00,0.00,0.374,0.00,0.255,361
Client   8,0.00,0.153,0.00,0.00,0.00,0.00,0.00,0.445,0.402,0.00,301
Client   9,0.535,0.00,0.00,0.00,0.00,0.00,0.162,0.00,0.00,0.304,303
Client  10,0.418,0.00,0.00,0.00,0.00,0.00,0.00,0.345,0.00,0.237,388
Client  11,0.00,0.246,0.00,0.00,0.00,0.00,0.262,0.00,0.00,0.492,187
Client  12,0.443,0.126,0.432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,366
Client  13,0.00,0.140,0.00,0.492,0.00,0.00,0.00,0.00,0.368,0.00,329
Client  14,0.00,0.00,0.00,0.388,0.321,0.00,0.00,0.00,0.290,0.00,417
Client  15,0.00,0.00,0.00,0.00,0.00,0.429,0.00,0.00,0.326,0.245,371
Client  16,0.00,0.00,0.00,0.468,0.00,0.00,0.142,0.390,0.00,0.00,344
Client  17,0.00,0.00,0.00,0.00,0.00,0.463,0.144,0.393,0.00,0.00,341
Client  18,0.00,0.178,0.00,0.00,0.00,0.00,0.00,0.00,0.469,0.353,258
Client  19,0.00,0.00,0.00,0.417,0.347,0.00,0.00,0.00,0.00,0.236,386
